Committee ID,Committee Name,Org type,Smaller Categories,Larger Categories,source,Connected Organization,country of origin
C00072769,ROCHE DIAGNOSTICS CORPORATION PAC (ROCHE DXPAC),C,Pharmaceutical,Health Care,https://www.roche.com/about/business/pharmaceuticals.htm,ROCHE DIAGNOSTICS CORPORATION,
C00072967,"COMMERCE BANCSHARES, INC., PAC",C,,Banking,https://finance.yahoo.com/quote/CBSH/profile?p=CBSH,"COMMERCE BANCSHARES, INC.",
C00073155,KEYCORP ADVOCATES FUND,C,,Banking,https://finance.yahoo.com/quote/KEY/profile?p=KEY,,
C00074096,DOW INC. PAC (DOWPAC),C,,Chemicals,https://finance.yahoo.com/quote/DOW/profile?p=DOW,DOW INC.,
C00075341,"MOTOROLA SOLUTIONS, INC. POLITICAL ACTION COMMITTEE",C,Telecom,Big Tech,https://finance.yahoo.com/quote/MSI/profile?p=MSI,"MOTOROLA SOLUTIONS, INC.",
C00075473,CMS ENERGY CORPORATION EMPLOYEES FOR BETTER GOVERNMENT- FEDERAL,C,Electric Utility,Fossil Fuels,https://www.cmsenergy.com/about-cms-energy/consumers-energy/default.aspx,CMS ENERGY CORPORATION,
C00075994,ASHLAND LLC POLITICAL ACTION COMMITTEE FOR EMPLOYEES (PACE),C,,Chemicals,https://finance.yahoo.com/quote/ASH/profile?p=ASH,ASHLAND LLC,
C00076174,NATIONWIDE MUTUAL INSURANCE COMPANY POLITICAL ACTION COMMITTEE,C,Insurance,Wall Street,,NATIONWIDE,
C00076299,CME GROUP INC. PAC,C,,Wall Street,https://finance.yahoo.com/quote/CME/profile?p=CME,"CME GROUP, INC.",
C00076588,"CF INDUSTRIES, INC. EMPLOYEES' GOOD GOVERNMENT FUND",C,,Big Ag,http://www.cfindustries.com/who-we-are/cf-at-a-glance,,
C00076737,SOUTHWEST GAS CORPORATION POLITICAL ACTION COMMITTEE,C,Electric Utility,Fossil Fuels,https://www.swgas.com/en/about-us,SOUTHWEST GAS CORPORATION,
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),C,,Auto,https://finance.yahoo.com/quote/GM/profile?p=GM,GENERAL MOTORS COMPANY,
C00077305,ALABAMA POWER CO EMPLOYEES FEDERAL POLITICAL ACTION CMTE (APC EMPLOYEES FEDERAL PAC),C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/ALP-PQ/profile?p=ALP-PQ,ALABAMA POWER COMPANY,
C00077701,THE KRAFT HEINZ COMPANY POLITICAL ACTION COMMITTEE (KRAFTHEINZPAC),C,,Food & Beverage,https://finance.yahoo.com/quote/KHC/profile?p=KHC,,
C00078287,CNA FINANCIAL CORPORATION CITIZENS FOR GOOD GOVERNMENT,C,Insurance,Wall Street,https://finance.yahoo.com/quote/CNA/profile?p=CNA,,
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC),C,,Defense,https://finance.yahoo.com/quote/GD/profile?p=GD,GENERAL DYNAMICS CORPORATION,
C00080515,THE EMERSON ELECTRIC CO. PAC,C,,Machinery,https://finance.yahoo.com/quote/EMR/profile?p=EMR,EMERSON ELECTRIC CO.,
C00081273,MIDAMERICAN ENERGY COMPANY PAC,C,Electric Utility,Fossil Fuels,https://www.midamericanenergy.com/aboutourcompany,MIDAMERICAN ENERGY COMPANY,
C00081547,DTE ENERGY COMPANY POLITICAL ACTION COMMITTEE,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/DTE/profile?p=DTE,DTE ENERGY COMPANY,
