Committee ID,Committee Name,Org type,Smaller Categories,Larger Categories,source,Connected Organization,country of origin
C00215202,"HEALTHY GOVERNMENT COMMITTEE-THE POLITICAL ACTION COMMITTEE OF BLUE CROSS & BLUE SHIELD OF ARIZONA, INC.",W,Health Insurance,Health Care,,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,
C00215285,GENERAL ATOMICS POLITICAL ACTION COMMITTEE,C,,Defense,https://www.forbes.com/companies/general-atomics/?sh=25345f1560d2,GENERAL ATOMICS POLITICAL ACTION COMMITTEE,
C00215384,ONEOK INC. EMPLOYEE POLITICAL ACTION COMMITTEE,C,Oil/Gas,Fossil Fuels,https://www.forbes.com/companies/oneok/?sh=2fc595076190,,
C00216184,ANESTHESIA SERVICE MEDICAL GROUP ADVOCACY FUND,C,,Health Care,https://asmgmd.com/about-us/,ANESTHESIA SERVICE MEDICAL GROUP ADVOCACY FUND,
C00216770,MATERION CORPORATION POLITICAL ACTION COMMITTEE,C,,Mining,https://materion.com/,MATERION CORPORATION,
C00217877,SOUTHERN GLAZER'S WINE AND SPIRITS PAC,C,Alcohol,Food & Beverage,https://www.southernglazers.com/,SOUTHERN GLAZER'S WINE AND SPIRITS,
C00218263,TCF FINANCIAL CORPORATION PAC,C,,Banking ,https://www.tcfbank.com/,,
C00219642,"ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE",C,Oil/Gas,Fossil Fuels,https://finance.yahoo.com/quote/EPD/profile?p=EPD,"ENTERPRISE HOLDINGS, INC.",
C00224147,GREAT SOUTHERN BANK EMPLOYEES GOOD GOVERNMENT COMMITTEE,C,,Banking ,,GREAT SOUTHERN BANK,
C00224725,HARLEY-DAVIDSON INC POLITICAL ACTION COMMITTEE (HARLEYPAC),C,,Auto,https://finance.yahoo.com/quote/HOG/profile?p=HOG,,
C00226548,VISTRA ENERGY LEADERS POLITICAL ACTION COMMITTEE OF VISTRA CORP.,C,Electric Utility,Fossil Fuels,https://www.vistracorp.com/about/,VISTRA CORP.,
C00227546,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,C,,Big Tech,https://finance.yahoo.com/quote/MSFT/profile?p=MSFT,MICROSOFT CORPORATION,
C00228106,PPL CORPORATION PEOPLE FOR GOOD GOVERNMENT,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/PPL/profile?p=PPL,LG&E - KU POLITICAL ACTION COMMITTEE,
C00228924,COMMUNITY BANCSHARES OF MISSISSIPPI INC. POLITICAL ACTION COMMITTEE,C,,Banking,https://www.bloomberg.com/profile/company/462340Z:US,"COMMUNITY BANCSHARES OF MISSISSIPPI, INC.",
C00229328,PROVIDENT SAVINGS BANK POLITICAL ACTION COMMITTEE (PROVPAC),W,,Banking ,,,
C00229435,LEGGETT & PLATT INCORPORATED POLITICAL ACTION COMMITTEE,C,,Manufacturing,https://leggett.com/our-businesses,LEGGETT & PLATT INCORPORATED POLITICAL ACTION COMMITTEE,
C00232272,PAN-AMERICAN LIFE INSURANCE COMPANY PAC (PALIC PAC),C,Insurance,Wall Street,,PAN-AMERICAN LIFE INSURANCE COMPANY,
C00233056,AUTOZONE INC COMMITTEE FOR BETTER GOVERNMENT,C,,Auto,https://finance.yahoo.com/quote/AZO/profile?p=AZO,"AUTOZONE, INC",
C00234120,"UNITED STATES SUGAR CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN POLITICAL ACTION COMMITTEE,",C,,Big Ag,,"UNITED STATES SUGAR CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN POLITICAL ACTION COMMITTEE,",
C00235036,"ZURICH HOLDING COMPANY OF AMERICA INC. COMMITTEE FOR GOOD GOVERNMENT (Z-PAC, ZURICH PAC)",C,Insurance,Wall Street,https://finance.yahoo.com/quote/ZURVY/profile?p=ZURVY,,
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),C,Railroads,Travel & Leisure,,BNSF RAILWAY COMPANY,
C00236034,WERNER ENTERPRISES INC POLITICAL ACTION COMMITTEE,C,,Shipping ,https://www.werner.com/,WERNER ENTERPRISES INC,
C00236414,TRANSAMERICA CORPORATION PAC,C,Insurance,Wall Street,https://www.transamerica.com/why-transamerica/purpose-vision,TRANSAMERICA,
C00236489,"KOCH INDUSTRIES, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",C,Oil/Gas,Fossil Fuels,,"KOCH INDUSTRIES, INC.",
C00238311,"AIR TRANSPORT SERVICES GROUP, INC. PAC",C,Transportation,Travel & Leisure,https://finance.yahoo.com/quote/ATSG/profile?p=ATSG,"AIR TRANSPORT SERVICES GROUP, INC. PAC",
C00239947,"CAESARS ENTERTAINMENT, INC. POLITICAL ACTION COMMITTEE",C,,Casinos,https://finance.yahoo.com/quote/CZR/profile?p=CZR,"CAESARS ENTERTAINMENT, INC.",
C00240218,APRIA HEALTHCARE LLC POLITICAL ACTION COMMITTEE,W,,Health Care,https://ir.apria.com/,APRIA HEALTHCARE LLC,
C00241851,BRINKER INTERNATIONAL INC. POLITICAL ACTION COMMITTEE,C,,Food & Beverage,https://finance.yahoo.com/quote/EAT/profile?p=EAT,,
C00243675,RIO TINTO AMERICA INC. PAC,C,,Mining,https://www.riotinto.com/products,RIO TINTO AMERICA INC.,
C00246736,SEABOARD CORPORATION POLITICAL ACTION COMMITTEE,C,,Big Ag,https://finance.yahoo.com/quote/SEB/profile?p=SEB,,
C00247262,"MAGELLAN HEALTH, INC. EMPLOYEE COMMITTEE FOR GOOD GOVERNMENT",C,,Health Care,https://finance.yahoo.com/quote/MGLN/profile?p=MGLN,"MAGELLAN HEALTH, INC.",
C00247981,"CORTEVA, INC. EMPLOYEES PAC (CORTEVA AGRISCIENCE PAC)",C,,Big Ag,https://www.corteva.us/products-and-solutions.html,"CORTEVA, INC.",
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,C,,Broadcasting,https://finance.yahoo.com/quote/CMCSA/profile?p=CMCSA,COMCAST CORPORATION,
C00250027,KIRBY CORPORATION POLITICAL ACTION COMMITTEE,C,,Shipping ,https://kirbycorp.com/about/,,
C00250407,"SOUTHERN NUCLEAR OPERATING COMPANY, INC. PAC",C,Nuclear,Energy,https://www.southernnuclear.com/,SOUTHERN NUCLEAR OPERATING COMPANY,
C00251132,EAT'N PARK RESTAURANTS INC POLITICAL ACTION COMMITTEE,C,,Food & Beverage,https://www.eatnpark.com/about-us/our-brands,,
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,C,Pharmaceutical,Health Care,https://www.amgen.com/products,AMGEN INC.,
C00252684,CAMBIA HEALTH SOLUTIONS INC. PAC,C,Health Insurance,Health Care,https://www.cambiahealth.com/solutions,CAMBIA HEALTH SOLUTIONS INC.,
C00253153,"BLOOMIN' BRANDS, INC. POLITICAL ACTION COMMITTEE",C,,Food & Beverage,https://finance.yahoo.com/quote/BLMN/profile?p=BLMN,"BLOOMIN' BRANDS, INC",
C00253369,"INVESCO HOLDING COMPANY (US), INC. POLITICAL ACTION COMMITTEE",C,,Wall Street,https://finance.yahoo.com/quote/IVZ/profile?p=IVZ,"INVESCO HOLDING COMPANY (US), INC.",
C00253468,FEDERAL AGRICULTURAL MORTGAGE CORPORATION POLITICAL ACTION COMMITTEE,C,Credit,Wall Street,https://finance.yahoo.com/quote/AGM/profile?p=AGM,FEDERAL AGRICULTURAL MORTGAGE CORPORATION POLITICAL ACTION COMMITTEE,
C00257246,GAP INC. POLITICAL ACTION COMMITTEE; THE,C,,Manufacturing,https://finance.yahoo.com/quote/GPS/profile?p=GPS,GAP INC.,
C00257329,THE PROCTER & GAMBLE COMPANY GOOD GOVERNMENT FUND,C,,Manufacturing,https://finance.yahoo.com/quote/PG/profile?p=PG,THE PROCTER & GAMBLE COMPANY,
C00257527,WASHINGTON FEDERAL SAVINGS AND LOAN ASSOCIATION POLITICAL ACTION COMMITTEE,C,,Banking,https://finance.yahoo.com/quote/WAFD/profile?p=WAFD,WASHINGTON FEDERAL SAVINGS & LOAN ASSN,
C00258228,WESTERN AND SOUTHERN LIFE INSURANCE CO POLITICAL ACTION COMMITTEE (WESTERN-SOUTHERN PAC),W,Insurance,Wall Street,,NONE,
C00258236,"EMD SERONO, INC. POLITICAL ACTION COMMITTEE",C,Pharmaceutical,Health Care,https://www.emdserono.com/us-en/company/who-we-are.html,"EMD SERONO, INC.",
C00263483,"S&T BANK/S&T BANCORP, INC. POLITICAL ACTION COMMITTEE",C,,Banking ,,"S&T BANK/S&T BANCORP, INC. POLITICAL ACTION COMMITTEE",
C00263731,"RED ROCK RESORTS, INC. PAC",C,,Casinos,https://finance.yahoo.com/quote/RRR/profile?p=RRR,,
C00264937,GREAT LAKES DREDGE & DOCK COMPANY POLITICAL ACTION COMMITTEE,C,,Construction,https://finance.yahoo.com/quote/GLDD/profile?p=GLDD,,
C00268904,TRINITY INDUSTRIES EMPLOYEE POLITICAL ACTION COMMITTEE (SF) INC.,C,Railroads,Travel & Leisure,https://finance.yahoo.com/quote/TRN/profile?p=TRN,TRINITY INDUSTRIES INC.,
C00268987,AMICA MUTUAL INSURANCE COMPANY/FED-POLITICAL ACTION COMMITTEE,C,Insurance,Wall Street,,AMICA MUTUAL INSURANCE COMPANY,
C00270421,STE. MICHELLE WINE ESTATES LTD. POLITICAL ACTION COMMITTEE,C,,Food & Beverage,https://trade.smwe.com/downloads/factSheets/,STE. MICHELLE WINE ESTATES LTD.,
C00270967,"CAPITAL BLUEPAC, THE POLITICAL ACTION COMMITTEE OF CAPITAL BLUECROSS",C,Health Insurance,Health Care,https://www.linkedin.com/company/capital-blue-cross,"BLUEPAC, THE BLUECROSS AND BLUESHIELD ASSOCIATION POLITICAL ACTION COMMITTEE",
C00271007,HUMANA INC. POLITICAL ACTION COMMITTEE,C,Health Insurance,Health Care,https://www.humana.com/medicare/medicare-advantage-plans,HUMANA INC.,
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),C,Health Insurance,Health Care,,UNITEDHEALTH GROUP INCORPORATED,
C00275230,ZIONS BANCORPORATION PAC,C,,Banking ,,"ZIONS BANCORPORATION, N.A.",
C00276311,BLUE CROSS AND BLUE SHIELD OF NEBRASKA PAC,W,Health Insurance,Health Care,,,
C00276592,INTERNATIONAL BANK OF COMMERCE COMMITTEE FOR IMPROVEMENT AND BETTERMENT OF THE COUNTRY,C,,Banking ,,INTERNATIONAL BANK OF COMMERCE,
C00278754,RELYANCE BANK POLITICAL ACTION COMMITTEE - FEDERAL,C,,Banking ,,RELYANCE BANK,
C00279216,IHEARTMEDIA INC. PAC,C,,Broadcasting,https://finance.yahoo.com/quote/IHRT/profile?p=IHRT,IHEARTMEDIA INC.,
C00279331,CONSOL ENERGY INC. PAC,C,Coal,Fossil Fuels,https://www.consolenergy.com/about/,"CONSOL ENERGY, INC.",
C00279455,ZENECA. INC. POLITICAL ACTION COMMITTEE (AZPAC),C,Pharmaceutical,Health Care,https://www.astrazeneca.com/our-company.html,ZENECA INC.,
C00279497,POLARIS INDUSTRIES POLITICAL PARTICIPATION PROGRAM,C,,Auto,https://finance.yahoo.com/quote/PII/profile?p=PII,POLARIS INDUSTRIES INC,
C00280107,MONTGOMERY CARDIOVASCULAR ASSOCIATES PC PAC,C,,Health Care,https://www.linkedin.com/company/montgomery-cardiovascular-associates,MONTGOMERY CARDIOVASCULAR ASSOCIATES PC,
C00280156,SUEZ WATER INC. FEDERAL PAC,C,Water,Energy,https://www.mysuezwater.com/about-us,SUEZ WATER INC.,
C00281162,BAYER U.S. LLC POLITICAL ACTION COMMITTEE,C,Pharmaceutical,Health Care,https://www.bayer.com/en/products/product-portfolio-of-bayer,BAYER U.S. LLC,
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),C,,Defense,https://finance.yahoo.com/quote/BAESY/profile?p=BAESY,,
C00281675,BUZZI UNICEM USA INC POLITICAL ACTION COMMITTEE,C,,Construction,https://finance.yahoo.com/quote/BZZUY/profile?p=BZZUY,BUZZI UNICEM USA INC.,Italy
C00282038,"SONY PICTURES ENTERTAINMENT, INC. PAC",C,,Broadcasting,https://finance.yahoo.com/quote/SONY/profile?p=SONY,"SONY PICTURES ENTERTAINMENT, INC.",
C00282566,"GRAPHIC PACKAGING INTERNATIONAL, LLC POLITICAL ACTION COMMITTEE",C,,Packaging,https://finance.yahoo.com/quote/GPK/profile?p=GPK,"GRAPHIC PACKAGING INTERNATIONAL, LLC",
C00282863,HORMEL FOODS CORPORATION PAC: AKA HORMEL-PAC,C,,Food & Beverage,https://finance.yahoo.com/quote/HRL/profile?p=HRL,HORMEL FOODS CORPORATION,
C00284810,"MARRIOTT INTERNATIONAL, INC. POLITICAL ACTION COMMITTEE",C,Hotels,Travel & Leisure,https://finance.yahoo.com/quote/MAR/profile?p=MAR,"MARRIOTT INTERNATIONAL, INC.",
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,C,,Manufacturing,https://finance.yahoo.com/quote/HD/profile?p=HD,THE HOME DEPOT INC.,
C00286922,CAREFIRST BLUECROSS BLUESHIELD ASSOCIATES' FEDERAL PAC,C,Health Insurance,Health Care,,CAREFIRST BLUE CROSS BLUESHIELD,
C00288712,AVIENT CORP. POLITICAL ACTION COMMITTEE,C,,Chemicals,https://finance.yahoo.com/quote/AVNT/profile?p=AVNT,AVIENT CORP. POLITICAL ACTION COMMITTEE,
C00289041,TELOS CORPORATION PAC,C,,Big Tech,https://finance.yahoo.com/quote/TLS/profile?p=TLS,,
C00289595,"PUTNAM INVESTMENTS, LLC POLITICAL ACTION COMMITTEE ('PUTNAM PAC')",C,,Wall Street,https://www.putnam.com/,,
C00290502,FIFTH THIRD BANCORP POLITICAL ACTION COMMITTEE,C,,Banking ,,FIFTH THIRD BANCORP,
C00290973,AK STEEL CORPORATION POLITICAL ACTION COMMITTEE,C,,Steel,,AK STEEL CORPORATION,
C00292094,GENESIS HEALTHCARE INC PAC,C,,Health Care,https://www.genesishcc.com/our-services/rehabilitation-therapy/our-services,GENESIS HEALTHCARE INC.,
C00292136,OTTER TAIL CORPORATION POLITICAL ACTION COMMITTEE,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/OTTR/profile?p=OTTR,,
C00292318,THERMO FISHER SCIENTIFIC INC. PAC,C,,Health Care,https://www.thermofisher.com/us/en/home/order.html,THERMO FISHER SCIENTIFIC INC. PAC,
C00296657,OHIO NATIONAL FINANCIAL SERVICES POLITICAL ACTION COMMITTEE,C,Insurance,Wall Street,https://www.facebook.com/ohionational/about/?ref=page_internal,OHIO NATIONAL FINANCIAL SERVICES POLITICAL ACTION COMMITTEE,
C00296822,ROLLS-ROYCE NORTH AMERICA HOLDINGS INC. PAC (ROLLS-ROYCE NORTH AMERICA PAC),C,,Defense,https://finance.yahoo.com/quote/RYCEY/profile?p=RYCEY,ROLLS-ROYCE NORTH AMERICA HOLDINGS INC.,UK
C00297085,EASTMAN KODAK COMPANY EMPLOYEE POLITICAL ACTION COMMITTEE,C,,Manufacturing,https://finance.yahoo.com/quote/KODK/profile?p=KODK,EASTMAN KODAK COMPANY,
C00299321,MGM RESORTS INTERNATIONAL  PAC,C,,Casinos,https://finance.yahoo.com/quote/MGM/profile?p=MGM,,
C00299750,TDS TELECOMMUNICATIONS CORPORATION PAC,C,Telecom,Big Tech,https://finance.yahoo.com/quote/TDS/profile?p=TDS,,
C00300178,WELLS FARGO AND COMPANY EMPLOYEES GOOD GOVERNMENT FEDERAL FUND II,C,,Banking ,,,
C00300418,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION VOLUNTARY POLITICAL ACTION COMMITTEE,C,,Big Tech,https://finance.yahoo.com/quote/SAIC/profile?p=SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,
C00300707,ACCENTURE INC. POLITICAL ACTION COMMITTEE,C,,Big Tech,https://finance.yahoo.com/quote/ACN/profile?p=ACN,,
C00300863,FIRST NATIONAL OF NEBRASKA PAC,C,,Banking,https://finance.yahoo.com/quote/FINN/profile?p=FINN,FIRST NATIONAL OF NEBRASKA INC,
C00301358,BLUE CROSS AND BLUE SHIELD OF KANSAS CITY FEDERAL PAC,W,Health Insurance,Health Care,,,
C00302166,"RADIAN GROUP, INC. POLITICAL ACTION COMMITTEE (RAD PAC)",C,Insurance,Wall Street,https://finance.yahoo.com/quote/RDN/profile?p=RDN,"RADIAN GROUP, INC.",
C00302844,HIGHMARK PAC OF HIGHMARK INC.,C,Health Insurance,Health Care,https://www.highmark.com/about/our-story/our-businesses.html,HIGHMARK INC.,
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,C,,Defense,https://finance.yahoo.com/quote/LMT/profile?p=LMT,LOCKHEED MARTIN CORPORATION,
C00303628,FOSTER POULTRY FARMS PAC,C,,Big Ag,https://www.fosterfarms.com/,,
C00303685,NORTH AMERICAN COAL CORP. POLITICAL ACTION COMM. NACPAC,C,Coal,Fossil Fuels,,THE NORTH AMERICAN COAL CORPORATION,
C00304410,OCEANFIRST POLITICAL ACTION COMMITTEE,C,,Banking,https://finance.yahoo.com/quote/OCFC/profile?p=OCFC,,
C00304477,OSHKOSH CORPORATION EMPLOYEES PAC (OCEPAC),C,,Machinery,https://finance.yahoo.com/quote/OSK/profile?p=OSK,OSHKOSH CORPORATION,
C00304832,CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE,C,Alcohol,Food & Beverage,https://finance.yahoo.com/quote/STZ/profile?p=STZ,NONE,
C00306175,LYONDELL CHEMICAL COMPANY PAC,C,,Chemicals,https://finance.yahoo.com/quote/LYB/profile?p=LYB,,
C00307249,"CITIZENS FINANCIAL GROUP, INC. POLITICAL ACTION COMMITTEE (CITIZENS PAC)",C,,Banking ,,"CITIZENS FINANCIAL GROUP, INC.",
C00309781,APOLLO EDUCATION GROUP INC. POLITICAL ORGANIZATION FOR LEGISLATIVE LEADERSHIP,C,,For-Profit Eduation,https://www.apollo.edu/about.html,,
C00311308,THE TIMKEN COMPANY GOOD GOVERNMENT FUND,C,,Machinery,https://www.timken.com/products/,THE TIMKEN COMPANY,
C00311878,MEDTRONIC INC. PAC,C,,Health Care,,,
C00312223,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA EMPLOYEE POLITICAL ACTION COMMITTEE,C,Health Insurance,Health Care,,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA EMPLOYEE POLITICAL ACTION COMMITTEE,
C00313700,TRANS UNION LLC POLITICAL ACTION COMMITTEE,C,,Banking,https://finance.yahoo.com/quote/TRU/profile?p=TRU,TRANSUNION LLC,
C00314997,LABORATORY CORPORATION OF AMERICA HOLDINGS POLITICAL PARTICIPATION COMMITTEE,C,,Health Care,https://www.bloomberg.com/profile/company/LH:US,,
C00317297,FBL FINANCIAL GROUP INC PAC,C,,Wall Street,https://www.fbfs.com/newsroom-home/about-fblfinancial,"FBL FINANCIAL GROUP, INC.",
C00318816,ASSOCIATED OREGON LOGGERS INC FEDERAL PAC (AOL FED PAC),C,,Timber,https://www.oregonloggers.org/,ASSOCIATED OREGON LOGGERS INC.,
C00320101,FREEPORT-MCMORAN INC. CITIZENSHIP COMMITTEE,C,,Mining,https://www.fcx.com/about,FREEPORT-MCMORAN INC.,
C00320580,BARRICK GOLD OF NORTH AMERICA INC. EMPLOYEES PAF,C,,Gold,https://finance.yahoo.com/quote/GOLD/profile?p=GOLD,,Canada
C00321158,"SALEM MEDIA GROUP POLITICAL ACTION COMMITTEE (SALEM MEDIA GROUP, INC.)",C,,Broadcasting,https://finance.yahoo.com/quote/SALM/profile?p=SALM,"SALEM MEDIA GROUP, INC.",
C00321406,WEBSTER BANK PAC - FEDERAL,C,,Banking ,,WEBSTER BANK,
C00323048,"ORACLE AMERICA, INC. POLITICAL ACTION COMMITTEE (ORACLE PAC)",C,,Big Tech,https://finance.yahoo.com/quote/ORCL/profile?p=ORCL,"ORACLE AMERICA, INC.",
C00323758,INDEPENDENT HEALTH ASSOCIATION INC POLITICAL ALLIANCE,C,Health Insurance,Health Care,https://www.linkedin.com/company/independent-health,,
C00324103,NCR CORPORATION POLITICAL ACTION COMMITTEE (NCRPAC),C,,Big Tech,https://finance.yahoo.com/quote/NCR/profile?p=NCR,NCR CORPORATION,
C00324483,BERKSHIRE HATHAWAY ENERGY COMPANY PAC,C,,Wall Street,,BERKSHIRE HATHAWAY ENERGY COMPANY,
C00325092,"HUNTINGTON INGALLS INDUSTRIES, INC. EMPLOYEES POLITICAL ACTION COMMITTEE (HIIPAC)",C,,Defense,https://finance.yahoo.com/quote/HII/profile?p=HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",
C00325647,FIRST COMMAND FINANCIAL PLANNING INC. PAC,C,,Wall Street,https://www.firstcommand.com/,FIRST COMMAND FINANCIAL PLANNING INC.,
C00325811,SABRE GLBL INC. POLITICAL ACTION COMMITTEE,C,,Big Tech,https://finance.yahoo.com/quote/SABR/profile?p=SABR,SABRE GLBL INC.,
C00326330,WAFFLE HOUSE INC POLITICAL ACTION COMMITTEE (WAFFLE HOUSE PAC),C,Fast Food,Food & Beverage,https://www.wafflehouse.com/,,
C00326595,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,C,,Banking ,,CAPITAL ONE FINANCIAL CORP.,
C00326868,THE AMALGAMATED SUGAR COMPANY LLC POLITICAL ACTION COMMITTEE,C,,Big Ag,https://www.amalgamatedsugar.com/our-story/our-history/,SNAKE RIVER SUGAR COMPANY POLITICAL ACTION COMMITTEE,
C00327072,SANTANDER HOLDINGS USA INC. PAC (SANTANDER US PAC),C,,Banking,https://www.santanderus.com/about-us/,SANTANDER HOLDINGS USA INC.,
C00327445,SPECTRUM HEALTHCARE RESOURCES INC POLITICAL ACTION COMMITTEE (SHR PAC),W,,Health Care,https://www.linkedin.com/company/spectrum-healthcare-resources,"SPECTRUM HEALTHCARE RESOURCES, INC.",
C00329185,QUEST DIAGNOSTICS INCORPORATED POLITICAL ACTION COMMITTEE,C,,Health Care,https://www.questdiagnostics.com/home/about/products-services/,QUEST DIAGNOSTICS INCORPORATED,
C00329474,YUM BRANDS INC. GOOD GOVERNMENT FUND,C,Fast Food,Food & Beverage,https://finance.yahoo.com/quote/YUM/profile?p=YUM,,
C00329631,HOMESTREET INC POLITICAL ACTION COMMITTEE (HOMESTREET PAC),C,,Banking,https://finance.yahoo.com/quote/HMST/profile?p=HMST,HOMESTREET INC.,
C00330233,"ALLIANCE COAL, LLC PAC",C,Coal,Fossil Fuels,,,
C00330514,AUTONATION INC POLITICAL ACTION COMMITTEE,C,,Auto,https://finance.yahoo.com/quote/AN/profile?p=AN,,
C00330647,ECHOSTAR CORPORATION AND DISH NETWORK CORPORATION PAC (ECHOSTAR DISH NETWORK PAC),C,Telecom,Big Tech,https://finance.yahoo.com/quote/DISH/profile?p=DISH,DISH NETWORK CORPORATION,
C00331835,NAVIENT CORPORATION PAC (NAVIENT PAC),C,,Banking,https://navient.com/,NAVIENT CORPORATION,
C00331942,CHURCHILL DOWNS INCORPORATED FPAC,C,,Casinos,https://finance.yahoo.com/quote/CHDN/profile?p=CHDN,"CHURCHILL DOWNS, INC.",
C00332395,VIATRIS INC. POLITICAL ACTION COMMITTEE (VIAPAC),C,Pharmaceutical,Health Care,https://www.viatris.com/en/products,VIATRIS INC.,
C00332833,CARDINAL HEALTH INC. PAC AKA CARDINAL HEALTH COMPANIES PAC FEC ID C00332833,C,,Health Care,https://www.cardinalhealth.com/en/product-solutions/medical.html,CARDINAL HEALTH INC.,
C00333534,"CENTERPOINT ENERGY, INC. POLITICAL ACTION COMMITTEE",C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/CNP/profile?p=CNP,"CENTERPOINT ENERGY, INC.",
C00333658,SILICON VALLEY BANK PAC,C,,Banking ,,,
C00334193,FIRST CITIZENS BANCSHARES INC POLITICAL ACTION COMMITTEE (FIRST CITIZENS BANCSHARES PAC),C,,Banking ,,FIRST CITIZENS BANCSHARES INC POLITICAL ACTION COMMITTEE (FIRST CITIZENS BANCSHARES PAC),
C00334581,KOMATSU MINING CORP. POLITICAL ACTION COMMITTEE,C,,Machinery,https://finance.yahoo.com/quote/KMTUY/profile?p=KMTUY,KOMATSU MINING CORP.,Japan
C00335000,NOVA CHEMICALS INC & NOVA CHEMICALS SRVCS INC COMMITTEE FOR POLITICAL ACTION & ENGAGEMENT,C,,Chemicals,https://www.novachem.com/,NOVA CHEMICALS INC & NOVA CHEMICALS SRVCS INC COMMITTEE FOR POLITICAL ACTION & ENGAGEMENT,
C00335026,"AVIS BUDGET GROUP, INC. PAC",C,,Travel & Leisure,https://finance.yahoo.com/quote/CAR.MX/profile?p=CAR.MX,"AVIS BUDGET GROUP, INC.",
C00335570,"ACADIAN AMBULANCE  SERVICE EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE, INC.",C,,Health Care,https://acadianambulance.com/our-company/,NONE,
C00335802,ASHTA CHEMICALS INC POLITICAL ACTION COMMITTEE,C,,Chemicals,https://ashtachemicals.com/,,
C00336057,UNITED STATES CELLULAR CORPORATION POLITICAL ACTION COMMITTEE,C,Telecom,Big Tech,https://finance.yahoo.com/quote/USM/profile?p=USM,,
C00336768,ARVEST BANK GROUP INC PAC INC,C,,Banking ,,"ARVEST BANK GROUP, INC.",
C00336834,ENCOVA CIVIC FUND (OF THE MOTORISTS MUTUAL INSURANCE COMPANY CIVIC FUND),C,Insurance,Wall Street,,MOTORISTS MUTUAL INSURANCE COMPANY CIVIC FUND,
C00337113,AFFINITY FEDERAL CREDIT UNION POLITICAL ACTION COMMITTEE (AFFINITY PAC),C,,Banking,https://finance.yahoo.com/quote/AFBI/profile?p=AFBI,AFFINITY FEDERAL CREDIT UNION,
C00337394,GRANITE CONSTRUCTION INC. EMPLOYEE PAC - GRANITEPAC,C,,Construction,https://finance.yahoo.com/quote/GVA/profile?p=GVA,,
C00337626,MORGAN STANLEY POLITICAL ACTION COMMITTEE,C,,Wall Street,,MORGAN STANLEY,
C00337808,OGE ENERGY CORP EMPLOYEES POLITICAL ACTION COMMITTEE,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/OGE/profile?p=OGE,,
C00337964,K-VA-T FOOD STORES INC FOODPAC,C,,Food & Beverage,https://www.foodcity.com/content/aboutus/,,
C00338335,NESTLE PURINA PETCARE COMPANY POLITICAL ELECTION TEAM,C,,Food & Beverage,https://finance.yahoo.com/quote/NSRGY/profile?p=NSRGY,,
C00339085,QUALCOMM INCORPORATED POLITICAL ACTION COMMITTEE (QPAC),C,,Big Tech,https://finance.yahoo.com/quote/QCOM/profile?p=QCOM,QUALCOMM INCORPORATED,
C00339499,PITNEY BOWES INC. POLITICAL ACTION COMMITTEE,C,,Shipping ,https://www.pitneybowes.com/us/our-company.html,PITNEY BOWES INC.,
C00339655,US ONCOLOGY INC. NETWORK POLITICAL ACTION COMMITTEE,C,,Health Care,https://usoncology.com/our-company/,"US ONCOLOGY, INC.",
C00340075,BASF CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE,C,,Chemicals,https://finance.yahoo.com/quote/BASFY/profile?p=BASFY,BASF CORPORATION,
C00340182,STP NUCLEAR OPERATING COMPANY PAC,C,Nuclear,Energy,https://www.facebook.com/stpnoc/about/?ref=page_internal,STP NUCLEAR OPERATING COMPANY,
C00340224,MATTEL INC. POLITICAL ACTION COMMITTEE,C,,Manufacturing,https://finance.yahoo.com/quote/MAT/profile?p=MAT,MATTEL INC.,
